TimeCnt,Angles,Velocities
0,"[0,178,177,0,179,25,176,179,12,14]","[0,0,0,0,0,0,0,0,0,0]"
1,"[1,179,171,0,179,27,174,177,14,11]","[0.0009765625,0.0009765625,-0.005859375,0,0,0.001953125,-0.001953125,-0.001953125,0.001953125,-0.0029296875]"
2,"[1,17,19,0,178,26,175,177,14,12]","[0,-0.1529745042492918,-0.14353163361661944,0,-0.0009442870632672333,-0.0009442870632672333,0.0009442870632672333,0,0,0.0009442870632672333]"
3,"[1,21,21,0,180,27,176,175,11,12]","[0,0.003968253968253968,0.001984126984126984,0,0.001984126984126984,0.000992063492063492,0.000992063492063492,-0.001984126984126984,-0.002976190476190476,0]"
4,"[1,172,172,0,180,26,177,178,12,11]","[0,0.14422158548233047,0.14422158548233047,0,0,-0.0009551098376313276,0.0009551098376313276,0.0028653295128939827,0.0009551098376313276,-0.0009551098376313276]"
5,"[1,175,172,0,179,22,179,176,11,11]","[0,0.002827521206409048,0,0,-0.000942507068803016,-0.003770028275212064,0.001885014137606032,-0.001885014137606032,-0.000942507068803016,0]"
6,"[1,16,24,0,179,25,177,177,13,14]","[0,-0.14681440443213298,-0.13665743305632502,0,0,0.002770083102493075,-0.0018467220683287165,0.0009233610341643582,0.0018467220683287165,0.002770083102493075]"
7,"[1,34,40,0,180,25,174,178,14,12]","[0,0.01717557251908397,0.015267175572519083,0,0.0009541984732824427,0,-0.0028625954198473282,0.0009541984732824427,0.0009541984732824427,-0.0019083969465648854]"
8,"[1,177,175,0,179,25,178,179,12,12]","[0,0.13829787234042554,0.13056092843326886,0,-0.0009671179883945841,0,0.0038684719535783366,0.0009671179883945841,-0.0019342359767891683,0]"
9,"[3,177,174,0,177,25,177,178,11,13]","[0.001996007984031936,0,-0.000998003992015968,0,-0.001996007984031936,0,-0.000998003992015968,-0.000998003992015968,-0.000998003992015968,0.000998003992015968]"
