TimeCnt,Angles,Velocities
0,"[41, 166, 168, 178, 9, 88, 70, 84, 84]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.5,"[39, 166, 163, 170, 6, 93, 78, 80, 81]","[-0.004, 0, -0.01, -0.016, -0.006, 0.01, 0.016, -0.008, -0.006]"
1,"[49, 158, 160, 166, 5, 95, 76, 74, 75]","[0.02, -0.016, -0.006, -0.008, -0.002, 0.004, -0.004, -0.012, -0.012]"
1.5,"[46, 145, 155, 170, 8, 92, 72, 61, 70]","[-0.006, -0.026, -0.01, 0.008, 0.006, -0.006, -0.008, -0.026, -0.01]"
2,"[42, 88, 123, 164, 10, 92, 68, 3, 49]","[-0.008, -0.114, -0.064, -0.012, 0.004, 0, -0.008, -0.116, -0.042]"
2.5,"[36, 70, 113, 169, 8, 85, 86, 6, 34]","[-0.012, -0.036, -0.02, 0.01, -0.004, -0.014, 0.036, 0.006, -0.03]"
3,"[33, 73, 102, 174, 9, 88, 69, 23, 17]","[-0.006, 0.006, -0.022, 0.01, 0.002, 0.006, -0.034, 0.034, -0.034]"
3.5,"[38, 30, 112, 175, 9, 89, 67, 34, 15]","[0.01, -0.086, 0.02, 0.002, 0, 0.002, -0.004, 0.022, -0.004]"
4,"[47, 35, 120, 175, 6, 86, 71, 33, 21]","[0.018, 0.01, 0.016, 0, -0.006, -0.006, 0.008, -0.002, 0.012]"
4.5,"[42, 96, 129, 169, 4, 89, 85, 13, 48]","[-0.01, 0.122, 0.018, -0.012, -0.004, 0.006, 0.028, -0.04, 0.054]"
5,"[38, 164, 166, 170, 10, 91, 74, 74, 75]","[-0.008, 0.136, 0.074, 0.002, 0.012, 0.004, -0.022, 0.122, 0.054]"
5.5,"[40, 166, 163, 170, 10, 91, 76, 78, 77]","[0.004, 0.004, -0.006, 0, 0, 0, 0.004, 0.008, 0.004]"
6,"[44, 167, 163, 167, 10, 94, 74, 76, 75]","[0.008, 0.002, 0, -0.006, 0, 0.006, -0.004, -0.004, -0.004]"
