TimeCnt,Angles,Velocities
0,"[31, 163, 145, 90, 5, 71, 67, 76, 62]","[0.00018538888408251041, -0.00009269444204125521, -0.00019156851355192742, -0.0005499870227781142, -0.0001359518483271743, -0.0006488610942887864, -0.0006735796121664545, 0.0003893166565732719, 0.0002904425850625996]"
0.5,"[36, 167, 145, 95, 4, 75, 71, 75, 60]","[0.008992805755395683, 0.007194244604316547, 0, 0.008992805755395683, -0.0017985611510791368, 0.007194244604316547, 0.007194244604316547, -0.0017985611510791368, -0.0035971223021582736]"
1,"[41, 176, 153, 135, 17, 165, 88, 76, 59]","[0.009727626459143969, 0.017509727626459144, 0.01556420233463035, 0.07782101167315175, 0.02529182879377432, 0.17509727626459143, 0.033073929961089495, 0.0019455252918287938, -0.0019455252918287938]"
1.5,"[35, 171, 153, 148, 0, 160, 157, 75, 63]","[-0.011583011583011582, -0.009652509652509652, 0, 0.025096525096525095, -0.032818532818532815, -0.009652509652509652, 0.13320463320463322, -0.0019305019305019305, 0.007722007722007722]"
2,"[51, 178, 151, 165, 4, 166, 169, 77, 57]","[0.030947775628626693, 0.013539651837524178, -0.0038684719535783366, 0.03288201160541586, 0.007736943907156673, 0.01160541586073501, 0.02321083172147002, 0.0038684719535783366, -0.01160541586073501]"
2.5,"[49, 170, 150, 165, 3, 168, 173, 73, 56]","[-0.003590664272890485, -0.01436265709156194, -0.0017953321364452424, 0, -0.0017953321364452424, 0.003590664272890485, 0.00718132854578097, -0.00718132854578097, -0.0017953321364452424]"
3,"[51, 176, 156, 165, 2, 168, 172, 76, 61]","[0.0036900369003690036, 0.01107011070110701, 0.01107011070110701, 0, -0.0018450184501845018, 0, -0.0018450184501845018, 0.005535055350553505, 0.00922509225092251]"
3.5,"[52, 174, 157, 165, 3, 168, 169, 75, 62]","[0.0018867924528301887, -0.0037735849056603774, 0.0018867924528301887, 0, 0.0018867924528301887, 0, -0.005660377358490566, -0.0018867924528301887, 0.0018867924528301887]"
4,"[53, 178, 152, 166, 5, 169, 170, 75, 58]","[0.00186219739292365, 0.0074487895716946, -0.00931098696461825, 0.00186219739292365, 0.0037243947858473, 0.00186219739292365, 0.00186219739292365, 0, -0.0074487895716946]"
4.5,"[52, 177, 157, 165, 3, 170, 171, 76, 61]","[-0.0018214936247723133, -0.0018214936247723133, 0.009107468123861567, -0.0018214936247723133, -0.0036429872495446266, 0.0018214936247723133, 0.0018214936247723133, 0.0018214936247723133, 0.00546448087431694]"
5,"[53, 178, 158, 166, 3, 170, 171, 76, 61]","[0.0017857142857142857, 0.0017857142857142857, 0.0017857142857142857, 0.0017857142857142857, 0, 0, 0, 0, 0]"
5.5,"[54, 178, 158, 165, 4, 168, 169, 75, 62]","[0.0018248175182481751, 0, 0, -0.0018248175182481751, 0.0018248175182481751, -0.0036496350364963502, -0.0036496350364963502, -0.0018248175182481751, 0.0018248175182481751]"
6,"[53, 177, 157, 166, 4, 168, 169, 75, 60]","[-0.001834862385321101, -0.001834862385321101, -0.001834862385321101, 0.001834862385321101, 0, 0, 0, 0, -0.003669724770642202]"
6.5,"[53, 171, 154, 165, 4, 169, 169, 73, 59]","[0, -0.0108499095840868, -0.0054249547920434, -0.0018083182640144665, 0, 0.0018083182640144665, 0, -0.003616636528028933, -0.0018083182640144665]"
7,"[54, 179, 158, 166, 4, 169, 169, 76, 60]","[0.0017921146953405018, 0.014336917562724014, 0.007168458781362007, 0.0017921146953405018, 0, 0, 0, 0.005376344086021506, 0.0017921146953405018]"
7.5,"[54, 180, 156, 166, 4, 169, 169, 76, 60]","[0, 0.001838235294117647, -0.003676470588235294, 0, 0, 0, 0, 0, 0]"
8,"[54, 180, 155, 166, 4, 170, 169, 76, 60]","[0, 0, -0.0017985611510791368, 0, 0, 0.0017985611510791368, 0, 0, 0]"
8.5,"[49, 178, 157, 139, 3, 165, 105, 79, 64]","[-0.008960573476702509, -0.0035842293906810036, 0.0035842293906810036, -0.04838709677419355, -0.0017921146953405018, -0.008960573476702509, -0.11469534050179211, 0.005376344086021506, 0.007168458781362007]"
9,"[52, 172, 151, 124, 32, 142, 72, 75, 58]","[0.005208333333333333, -0.010416666666666666, -0.010416666666666666, -0.026041666666666668, 0.050347222222222224, -0.03993055555555555, -0.057291666666666664, -0.006944444444444444, -0.010416666666666666]"
