TimeCnt,Angles,Velocities
0,"[38, 175, 143, 78, 4, 57, 52, 83, 60]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.5,"[30, 174, 149, 95, 3, 79, 76, 82, 61]","[-0.016, -0.002, 0.012, 0.034, -0.002, 0.044, 0.048, -0.002, 0.002]"
1,"[38, 177, 158, 135, 23, 161, 91, 78, 60]","[0.016, 0.006, 0.018, 0.08, 0.04, 0.164, 0.03, -0.008, -0.002]"
1.5,"[40, 173, 152, 151, 0, 163, 161, 76, 61]","[0.004, -0.008, -0.012, 0.032, -0.046, 0.004, 0.14, -0.004, 0.002]"
2,"[42, 178, 144, 161, 3, 166, 168, 78, 56]","[0.004, 0.01, -0.016, 0.02, 0.006, 0.006, 0.014, 0.004, -0.01]"
2.5,"[48, 170, 149, 164, 4, 166, 170, 73, 57]","[0.012, -0.016, 0.01, 0.006, 0.002, 0, 0.004, -0.01, 0.002]"
3,"[43, 176, 154, 162, 4, 168, 171, 78, 60]","[-0.01, 0.012, 0.01, -0.004, 0, 0.004, 0.002, 0.01, 0.006]"
3.5,"[45, 172, 151, 164, 4, 168, 170, 74, 59]","[0.004, -0.008, -0.006, 0.004, 0, 0, -0.002, -0.008, -0.002]"
4,"[47, 179, 154, 164, 4, 166, 171, 78, 60]","[0.004, 0.014, 0.006, 0, 0, -0.004, 0.002, 0.008, 0.002]"
4.5,"[53, 175, 159, 166, 3, 167, 170, 74, 59]","[0.012, -0.008, 0.01, 0.004, -0.002, 0.002, -0.002, -0.008, -0.002]"
5,"[48, 176, 157, 165, 4, 168, 172, 76, 58]","[-0.01, 0.002, -0.004, -0.002, 0.002, 0.002, 0.004, 0.004, -0.002]"
5.5,"[49, 179, 152, 166, 4, 169, 172, 77, 58]","[0.002, 0.006, -0.01, 0.002, 0, 0.002, 0, 0.002, 0]"
6,"[48, 171, 155, 166, 4, 168, 172, 73, 59]","[-0.002, -0.016, 0.006, 0, 0, -0.002, 0, -0.008, 0.002]"
6.5,"[47, 176, 162, 166, 4, 167, 171, 74, 60]","[-0.002, 0.01, 0.014, 0, 0, -0.002, -0.002, 0.002, 0.002]"
7,"[50, 173, 155, 165, 4, 169, 172, 74, 60]","[0.006, -0.006, -0.014, -0.002, 0, 0.004, 0.002, 0, 0]"
7.5,"[48, 173, 155, 165, 4, 169, 171, 73, 60]","[-0.004, 0, 0, 0, 0, 0, -0.002, -0.002, 0]"
8,"[51, 172, 154, 166, 4, 169, 173, 74, 59]","[0.006, -0.002, -0.002, 0.002, 0, 0, 0.004, 0.002, -0.002]"
8.5,"[49, 173, 154, 165, 4, 169, 171, 75, 60]","[-0.004, 0.002, 0, -0.002, 0, 0, -0.004, 0.002, 0.002]"
9,"[44, 177, 148, 137, 4, 166, 90, 79, 57]","[-0.01, 0.008, -0.012, -0.056, 0, -0.006, -0.162, 0.008, -0.006]"
9.5,"[44, 177, 143, 125, 28, 149, 73, 79, 55]","[0, 0, -0.01, -0.024, 0.048, -0.034, -0.034, 0, -0.004]"
